contact,transiting,natal,aspect,exact_key,package_status,you_words,friend_words,exact_review_status,shared_key,shared_has_you,shared_review_status
Sun return,sun,sun,conjunction (return),authored/transit-return/sun,empty_exact,0,0,,,,
Sun opposition your Sun,sun,sun,opposition,authored/transit-aspect/sun/sun/opposition,empty_exact,0,0,,authored/transit-aspect/sun/sun/hard,yes,approved
Sun square your Sun,sun,sun,square,authored/transit-aspect/sun/sun/square,empty_exact,0,0,,authored/transit-aspect/sun/sun/hard,yes,approved
Sun trine your Sun,sun,sun,trine,authored/transit-aspect/sun/sun/trine,empty_exact,0,0,,authored/transit-aspect/sun/sun/soft,yes,approved
Sun sextile your Sun,sun,sun,sextile,authored/transit-aspect/sun/sun/sextile,empty_exact,0,0,,authored/transit-aspect/sun/sun/soft,yes,approved
Sun conjunction your Moon,sun,moon,conjunction,authored/transit-aspect/sun/moon/conjunction,empty_exact,0,0,,authored/transit-aspect/sun/moon/hard,yes,approved
Sun opposition your Moon,sun,moon,opposition,authored/transit-aspect/sun/moon/opposition,empty_exact,0,0,,authored/transit-aspect/sun/moon/hard,yes,approved
Sun square your Moon,sun,moon,square,authored/transit-aspect/sun/moon/square,empty_exact,0,0,,authored/transit-aspect/sun/moon/hard,yes,approved
Sun trine your Moon,sun,moon,trine,authored/transit-aspect/sun/moon/trine,empty_exact,0,0,,authored/transit-aspect/sun/moon/soft,yes,approved
Sun sextile your Moon,sun,moon,sextile,authored/transit-aspect/sun/moon/sextile,empty_exact,0,0,,authored/transit-aspect/sun/moon/soft,yes,approved
Sun conjunction your Mercury,sun,mercury,conjunction,authored/transit-aspect/sun/mercury/conjunction,empty_exact,0,0,,authored/transit-aspect/sun/mercury/hard,yes,approved
Sun opposition your Mercury,sun,mercury,opposition,authored/transit-aspect/sun/mercury/opposition,empty_exact,0,0,,authored/transit-aspect/sun/mercury/hard,yes,approved
Sun square your Mercury,sun,mercury,square,authored/transit-aspect/sun/mercury/square,empty_exact,0,0,,authored/transit-aspect/sun/mercury/hard,yes,approved
Sun trine your Mercury,sun,mercury,trine,authored/transit-aspect/sun/mercury/trine,empty_exact,0,0,,authored/transit-aspect/sun/mercury/soft,yes,approved
Sun sextile your Mercury,sun,mercury,sextile,authored/transit-aspect/sun/mercury/sextile,empty_exact,0,0,,authored/transit-aspect/sun/mercury/soft,yes,approved
