reader_moon,other_moon,relation,source
Aries,Aries,same,author
Aries,Taurus,semisextile,author
Aries,Gemini,sextile,author
Aries,Cancer,square,author
Aries,Leo,trine,author
Aries,Virgo,quincunx,author
Aries,Libra,opposition,author
Aries,Scorpio,quincunx,author
Aries,Sagittarius,trine,author
Aries,Capricorn,square,author
Aries,Aquarius,sextile,author
Aries,Pisces,semisextile,author
Taurus,Aries,semisextile,resolved
Taurus,Taurus,same,author
Taurus,Gemini,semisextile,author
Taurus,Cancer,sextile,author
Taurus,Leo,square,author
Taurus,Virgo,trine,author
Taurus,Libra,quincunx,author
Taurus,Scorpio,opposition,author
Taurus,Sagittarius,quincunx,author
Taurus,Capricorn,trine,author
Taurus,Aquarius,square,author
Taurus,Pisces,sextile,author
Gemini,Aries,sextile,resolved
Gemini,Taurus,semisextile,resolved
Gemini,Gemini,same,author
Gemini,Cancer,semisextile,author
Gemini,Leo,sextile,author
Gemini,Virgo,square,author
Gemini,Libra,trine,author
Gemini,Scorpio,quincunx,author
Gemini,Sagittarius,opposition,author
Gemini,Capricorn,quincunx,author
Gemini,Aquarius,trine,author
Gemini,Pisces,square,author
Cancer,Aries,square,resolved
Cancer,Taurus,sextile,resolved
Cancer,Gemini,semisextile,resolved
Cancer,Cancer,same,author
Cancer,Leo,semisextile,author
Cancer,Virgo,sextile,author
Cancer,Libra,square,author
Cancer,Scorpio,trine,author
Cancer,Sagittarius,quincunx,author
Cancer,Capricorn,opposition,author
Cancer,Aquarius,quincunx,author
Cancer,Pisces,trine,author
Leo,Aries,trine,resolved
Leo,Taurus,square,resolved
Leo,Gemini,sextile,resolved
Leo,Cancer,semisextile,resolved
Leo,Leo,same,author
Leo,Virgo,semisextile,author
Leo,Libra,sextile,author
Leo,Scorpio,square,author
Leo,Sagittarius,trine,author
Leo,Capricorn,quincunx,author
Leo,Aquarius,opposition,author
Leo,Pisces,quincunx,author
Virgo,Aries,quincunx,resolved
Virgo,Taurus,trine,resolved
Virgo,Gemini,square,resolved
Virgo,Cancer,sextile,resolved
Virgo,Leo,semisextile,resolved
Virgo,Virgo,same,author
Virgo,Libra,semisextile,author
Virgo,Scorpio,sextile,author
Virgo,Sagittarius,square,author
Virgo,Capricorn,trine,author
Virgo,Aquarius,quincunx,author
Virgo,Pisces,opposition,author
Libra,Aries,opposition,resolved
Libra,Taurus,quincunx,resolved
Libra,Gemini,trine,resolved
Libra,Cancer,square,resolved
Libra,Leo,sextile,resolved
Libra,Virgo,semisextile,resolved
Libra,Libra,same,author
Libra,Scorpio,semisextile,author
Libra,Sagittarius,sextile,author
Libra,Capricorn,square,author
Libra,Aquarius,trine,author
Libra,Pisces,quincunx,author
Scorpio,Aries,quincunx,resolved
Scorpio,Taurus,opposition,resolved
Scorpio,Gemini,quincunx,resolved
Scorpio,Cancer,trine,resolved
Scorpio,Leo,square,resolved
Scorpio,Virgo,sextile,resolved
Scorpio,Libra,semisextile,resolved
Scorpio,Scorpio,same,author
Scorpio,Sagittarius,semisextile,author
Scorpio,Capricorn,sextile,author
Scorpio,Aquarius,square,author
Scorpio,Pisces,trine,author
Sagittarius,Aries,trine,resolved
Sagittarius,Taurus,quincunx,resolved
Sagittarius,Gemini,opposition,resolved
Sagittarius,Cancer,quincunx,resolved
Sagittarius,Leo,trine,resolved
Sagittarius,Virgo,square,resolved
Sagittarius,Libra,sextile,resolved
Sagittarius,Scorpio,semisextile,resolved
Sagittarius,Sagittarius,same,author
Sagittarius,Capricorn,semisextile,author
Sagittarius,Aquarius,sextile,author
Sagittarius,Pisces,square,author
Capricorn,Aries,square,resolved
Capricorn,Taurus,trine,resolved
Capricorn,Gemini,quincunx,resolved
Capricorn,Cancer,opposition,resolved
Capricorn,Leo,quincunx,resolved
Capricorn,Virgo,trine,resolved
Capricorn,Libra,square,resolved
Capricorn,Scorpio,sextile,resolved
Capricorn,Sagittarius,semisextile,resolved
Capricorn,Capricorn,same,author
Capricorn,Aquarius,semisextile,author
Capricorn,Pisces,sextile,author
Aquarius,Aries,sextile,resolved
Aquarius,Taurus,square,resolved
Aquarius,Gemini,trine,resolved
Aquarius,Cancer,quincunx,resolved
Aquarius,Leo,opposition,resolved
Aquarius,Virgo,quincunx,resolved
Aquarius,Libra,trine,resolved
Aquarius,Scorpio,square,resolved
Aquarius,Sagittarius,sextile,resolved
Aquarius,Capricorn,semisextile,resolved
Aquarius,Aquarius,same,author
Aquarius,Pisces,semisextile,author
Pisces,Aries,semisextile,resolved
Pisces,Taurus,sextile,resolved
Pisces,Gemini,square,resolved
Pisces,Cancer,trine,resolved
Pisces,Leo,quincunx,resolved
Pisces,Virgo,opposition,resolved
Pisces,Libra,quincunx,resolved
Pisces,Scorpio,trine,resolved
Pisces,Sagittarius,square,resolved
Pisces,Capricorn,sextile,resolved
Pisces,Aquarius,semisextile,resolved
Pisces,Pisces,same,author
